blue,green,red,saturation,hue,Value,watermark,mean_scharr,std_scharr,skew_scharr,mean_sobel,std_sobel,skew_sobel,mean_hog_list,std_hog_list,mean_noise_list,std_noise_list,mean_spectrum_list,var_spectrum_list,skew_spectrum_list,kurt_spectrum_list,contrast_glcms_list,dissimilarity_glcms_list,homogeneity_glcms_list,energy_glcms_list ,correlation_glcms_list ,LBP1,LBP2,LBP3,LBP4,LBP5,LBP6,LBP7,LBP8,LBP9,LBP10,mean_cA_wavelet,var_cA_wavelet,skew_cA_wavelet,kurt_cA_wavelet,mean_cH_wavelet,var_cH_wavelet,skew_cH_wavelet,kurt_cH_wavelet,mean_cV_wavelet,var_cV_wavelet,skew_cV_wavelet,kurt_cV_wavelet,mean_cD_wavelet,var_cD_wavelet,skew_cD_wavelet,kurt_cD_wavelet,mean_quant_table_0_list,mean_quant_table_1_list,std_quant_table_0_list,std_quant_table_1_list,max_value_list_ela,std_deviation_list_ela,y_category_uncleaned,y_real_fake_uncleaned,image_name
11.02648926,111.0423355,58.86736298,225.5369034,49.72433853,111.2223978,FALSE,179.209097,255.6536853,3.09711279,44.52919829,63.45939793,3.074138938,0.115282358,0.120250572,83.93584442,65.07543006,151.4379844,744.8213162,0.855266656,1.643886462,69.44833192,4.502469567,0.382229944,0.036037944,0.992842607,0.009256363,0.027877808,0.025351524,0.129540443,0.297746658,0.216475487,0.058732033,0.043815613,0.149699211,0.04150486,150.3728409,12346.00953,0.427240408,-0.892042263,0.085731506,40.84908398,-1.070852983,27.10984715,0.025981903,47.38961425,-0.104546808,18.66358865,0.004718781,1.815289165,-0.206322422,45.34763732,15.015625,22.5625,8.908374198,7.123629254,574688,40505.23807,Jungle,Fake,150400011_fake_dall.e_jungle_1.jpg
33.66330242,122.8743639,34.47418785,198.9983892,62.42494011,123.3734694,FALSE,178.6592009,274.7418722,3.235405213,44.42194679,68.32902209,3.226719244,0.114494255,0.121107891,86.16932678,57.70604231,150.3604534,729.635616,0.836553105,1.587068378,81.21493444,4.141746663,0.432944258,0.042172286,0.98879441,0.008393288,0.028708458,0.021561623,0.12348938,0.287873268,0.259082794,0.060540199,0.042459488,0.12411499,0.043776512,172.2677021,12257.0406,0.871261854,0.802269791,0.008153915,40.51543549,-0.08959404,17.44252919,0.01641655,64.77586785,-1.066041873,30.10107805,0.001207352,1.537747833,0.001571937,32.56129525,15.015625,22.5625,8.908374198,7.123629254,543647,39362.61378,Jungle,Fake,150400011_fake_dall.e_jungle_2.jpg
25.00362492,143.9045391,44.83738995,222.4444418,56.66931629,144.1451931,FALSE,210.8943555,230.4235412,2.485759083,52.39176909,57.23514579,2.471867093,0.118877615,0.116815626,100.6339073,53.21035283,150.8975854,732.8215867,0.848077719,1.622802583,85.2121384,5.86675029,0.233092342,0.015616962,0.986753693,0.010790825,0.03156662,0.032361031,0.140792847,0.369066238,0.215857506,0.064435959,0.039103508,0.053165436,0.042860031,194.126894,9126.769913,0.377139582,0.023873235,0.079717636,26.7532362,-0.31847289,12.99444419,-0.006166458,61.9342891,0.211712249,8.93213035,0.002664566,1.57268291,-0.233662168,23.97358948,15.015625,22.5625,8.908374198,7.123629254,457303,36800.49582,Jungle,Fake,150400011_fake_dall.e_jungle_3.jpg
44.77325535,130.445116,61.96555614,188.6459618,58.60472488,131.0413198,FALSE,252.6373605,276.7728556,2.401590378,62.73123077,68.6383734,2.377172386,0.121612158,0.113890468,100.1750307,60.64696771,155.3544824,724.5790721,0.824584625,1.56508968,102.7114749,6.230798089,0.24291832,0.017460956,0.98717434,0.01179409,0.031130791,0.035506248,0.150678635,0.351631165,0.205413818,0.065068245,0.039107323,0.064782143,0.044887543,194.0477791,12005.82008,0.535804195,-0.158400354,0.042339325,52.66623144,-0.137874994,10.63178799,0.076267242,78.47701526,0.418676553,11.12141044,0.002429962,2.89034253,0.123536455,30.98272506,15.015625,22.5625,8.908374198,7.123629254,472141,36732.90049,Jungle,Fake,150400011_fake_dall.e_jungle_4.jpg
29.81454086,83.35515404,52.18345642,152.3312654,69.44761276,86.29681015,FALSE,210.814476,251.925832,2.775786678,52.29718702,62.45104428,2.756093036,0.122079579,0.113465212,67.89161682,52.69319291,154.1184883,726.3927396,0.81248701,1.514985017,75.51778146,5.090262822,0.298220737,0.026053813,0.988528552,0.012392998,0.033258438,0.034611702,0.145341873,0.323269844,0.212719917,0.068529129,0.043893814,0.077953339,0.048028946,127.5838318,8259.718991,0.900409569,0.055499373,0.052196503,55.32274359,-0.575160782,15.03317947,0.031253815,52.55897689,-0.316122344,14.04805572,0.002441406,2.498904943,-0.149721876,24.38230871,15.015625,22.5625,8.908374198,7.123629254,538407,38659.41579,Jungle,Fake,150400011_fake_dall.e_jungle_5.jpg
28.56906319,24.35363674,25.68168163,103.5501547,133.8423023,29.56589985,FALSE,9.186490368,35.85312579,16.0233042,2.270922911,8.822109076,15.90925154,0.068826704,0.13867003,25.16793633,18.54302207,118.4717629,599.9829271,0.61275656,1.485039705,0.592866034,0.137745907,0.949967331,0.190292332,0.999174126,0.001142502,0.00549221,0.000753403,0.024920464,0.006175995,0.106209755,0.008545876,0.021185875,0.812738419,0.012835503,51.697052,1496.108,0.165223472,-0.878061155,0.014945984,1.276412741,17.51734732,452.0502678,0.008274078,0.39102384,-1.365717036,588.1271726,-6.48E-05,0.100831981,-0.101759555,538.0087779,15.015625,22.5625,8.908374198,7.123629254,1016607,63331.99884,Mountain,Fake,150400011_fake_dall.e_mountain_1.jpg
107.0170393,87.84277725,78.55407047,130.1729708,91.06425571,115.1745157,FALSE,51.31328025,164.7794373,8.051507249,12.71813187,40.74206029,7.927144458,0.107813599,0.126425889,87.21880817,76.34779921,145.1063131,662.7370998,0.757079688,1.716509822,15.50682639,0.961005277,0.796248964,0.074566134,0.998642158,0.004467964,0.017379761,0.005857468,0.091629982,0.055171013,0.185163498,0.036664963,0.064017296,0.508023262,0.031624794,185.0740414,21262.94709,0.462951437,-1.129047836,-0.044126511,19.24027182,2.859771773,132.831689,0.146158218,12.5271159,5.68580277,214.6098425,-0.000268936,1.414971279,0.559392447,275.7753921,15.015625,22.5625,8.908374198,7.123629254,917912,57222.55845,Mountain,Fake,150400011_fake_dall.e_mountain_2.jpg
112.7783298,106.2866993,107.0174952,31.77042198,108.6634693,113.6892719,FALSE,29.09234893,97.84423225,12.79655764,7.193278602,24.07375798,12.50285631,0.100745949,0.132497917,107.2462683,90.09347157,138.4396553,586.115303,0.763804611,2.047355501,5.989716978,0.552572092,0.852766188,0.085047134,0.999630889,0.00258255,0.011834145,0.004151344,0.071879387,0.037053108,0.192060471,0.029548645,0.048830032,0.577834129,0.024226189,216.9354725,32850.70232,0.308834134,-1.591778865,0.1621418,7.563457466,14.0930424,320.9980109,-0.001649857,4.635158678,9.93881169,453.1260098,0.000974655,0.811983112,-0.215131063,504.3102935,15.015625,22.5625,8.908374198,7.123629254,966947,60136.41042,Mountain,Fake,150400011_fake_dall.e_mountain_3.jpg
45.0224514,39.87436485,45.55325031,111.604619,121.1368608,47.25625038,FALSE,16.85233261,93.07928358,18.90784982,4.16606063,22.8133309,18.54270714,0.081391484,0.138222566,42.12044525,47.3470331,138.4974525,557.3148299,0.666492455,1.741721811,4.790985078,0.28882003,0.917726908,0.173738001,0.998954909,0.001876831,0.008956909,0.001436234,0.038243294,0.016634941,0.138936996,0.01557827,0.030557632,0.730056763,0.01772213,84.16140556,8632.678871,1.169052365,-0.069107761,0.02100563,8.024870234,21.83719599,583.5768102,0.004468918,3.550491389,13.26805763,851.2244385,0.000276566,1.024693413,0.401945792,573.8137475,15.015625,22.5625,8.908374198,7.123629254,1001138,62281.16529,Mountain,Fake,150400011_fake_dall.e_mountain_4.jpg
27.49025726,24.91881943,26.49315739,56.74058247,129.4506397,27.71013641,FALSE,11.43935629,36.18157547,10.80166745,2.820591851,8.892857937,10.70107725,0.06890712,0.140321741,25.72134018,19.89303099,120.1986867,559.5901535,0.661313348,1.878623675,0.967186354,0.230119364,0.919959911,0.176991599,0.998772064,0.001832962,0.007336617,0.002296448,0.031007767,0.021838188,0.098565102,0.014421463,0.021014214,0.789319992,0.012367249,51.8628788,1559.103353,0.105428992,-1.778075862,0.037614822,0.891366383,11.16773063,234.0502026,0.015321732,0.697626916,9.360018824,326.7139992,-0.000593185,0.077442771,-1.77847054,343.7757533,15.015625,22.5625,8.908374198,7.123629254,1010845,63047.09948,Mountain,Fake,150400011_fake_dall.e_mountain_5.jpg
